date;sessions;searches;bookings;searchesONsessions;bookingsONsessions;bookingsONsearches
2019-01;7454104;11404088;75373;1,529907;0,010112;0,006609
2019-02;6791849;8546751;67871;1,258384;0,009993;0,007941
2019-03;7151561;9545732;80871;1,334776;0,011308;0,008472
2019-04;7111621;9653586;74426;1,357438;0,010465;0,007710
2019-05;7799312;11082118;81373;1,420910;0,010433;0,007343
2019-06;8362853;11167176;78585;1,335331;0,009397;0,007037
2019-07;9968007;12719019;84924;1,275984;0,008520;0,006677
2019-08;9352419;12211324;76904;1,305686;0,008223;0,006298
2019-09;8411082;12136544;81638;1,442923;0,009706;0,006727
2019-10;7365376;11092241;71368;1,505998;0,009690;0,006434
2019-11;6094844;9144580;69927;1,500380;0,011473;0,007647
2019-12;6372805;8801604;66084;1,381119;0,010370;0,007508
2020-01;9330888;13831067;98158;1,482288;0,010520;0,007097
2020-02;8620124;10833165;83763;1,256730;0,009717;0,007732
2020-03;3973670;3980681;28776;1,001764;0,007242;0,007229
2020-04;1268015;868628;2662;0,685030;0,002099;0,003065
2020-05;1322389;1000242;5551;0,756390;0,004198;0,005550
2020-06;2381712;2438742;21318;1,023945;0,008951;0,008741
2020-07;5481396;7129967;52556;1,300758;0,009588;0,007371
2020-08;5181114;7008779;43356;1,352755;0,008368;0,006186
2020-09;3586715;4147377;27948;1,156316;0,007792;0,006739
2020-10;2670413;2902165;20461;1,086785;0,007662;0,007050
2020-11;1323686;1241242;11372;0,937716;0,008591;0,009162
2020-12;1698703;1900758;15629;1,118947;0,009201;0,008223
2021-01;1238667;1371673;9109;1,107378;0,007354;0,006641
2021-02;1023488;1297261;7728;1,267490;0,007551;0,005957
2021-03;1225703;1626436;13122;1,326941;0,010706;0,008068
2021-04;1104999;1705574;10446;1,543507;0,009453;0,006125
2021-05;2067471;3198286;21149;1,546956;0,010229;0,006613
2021-06;2510224;3141950;29087;1,251661;0,011587;0,009258
2021-07;3954012;4405102;43008;1,114084;0,010877;0,009763
2021-08;4756229;5588591;47902;1,175005;0,010071;0,008571
2021-09;4311274;4986075;53780;1,156520;0,012474;0,010786
2021-10;4759341;5500039;63130;1,155630;0,013264;0,011478
2021-11;3831842;4380041;53170;1,143064;0,013876;0,012139
2021-12;2405628;2203576;25426;0,916009;0,010569;0,011539
2022-01;4587678;4456140;61383;0,971328;0,013380;0,013775
2022-02;5075417;5424704;62962;1,068819;0,012405;0,011607
2022-03;5833316;6107904;71558;1,047072;0,012267;0,011716
2022-04;6053794;6966891;71496;1,150831;0,011810;0,010262
