date;sessions;searches;bookings;searchesONsessions;bookingsONsessions;bookingsONsearches
2019-01;0,963836;1,324216;0,929122;1,489860;0,141663;-0,697223
2019-02;0,719158;0,600112;0,663479;0,189712;0,089851;-0,082980
2019-03;0,852058;0,853273;1,123804;0,555505;0,664376;0,161826
2019-04;0,837301;0,880605;0,895589;0,664019;0,296218;-0,189734
2019-05;1,091376;1,242623;1,141580;0,967942;0,282217;-0,358967
2019-06;1,299583;1,264178;1,042858;0,558162;-0,170553;-0,499903
2019-07;1,892625;1,657446;1,267319;0,273990;-0,553783;-0,666031
2019-08;1,665189;1,528786;0,983334;0,416213;-0,683422;-0,840902
2019-09;1,317402;1,509835;1,150963;1,073350;-0,035527;-0,643111
2019-10;0,931054;1,245188;0,787306;1,375374;-0,042666;-0,778047
2019-11;0,461642;0,751613;0,736281;1,348472;0,736448;-0,218720
2019-12;0,564338;0,664696;0,600202;0,777413;0,254404;-0,282664
2020-01;1,657234;1,939260;1,735930;1,261844;0,319930;-0,472333
2020-02;1,394635;1,179533;1,226209;0,181793;-0,030660;-0,179396
2020-03;-0,322049;-0,557020;-0,720860;-1,039067;-1,112073;-0,411458
2020-04;-1,321684;-1,345675;-1,645547;-2,555700;-3,358500;-2,332020
2020-05;-1,301595;-1,312321;-1,543249;-2,214002;-2,441830;-1,185924
2020-06;-0,910216;-0,947777;-0,984945;-0,932859;-0,365480;0,286090
2020-07;0,234997;0,241071;0,121181;0,392613;-0,087047;-0,345863
2020-08;0,124054;0,210359;-0,204588;0,641596;-0,619998;-0,892466
2020-09;-0,465014;-0,514776;-0,750179;-0,299020;-0,871622;-0,637535
2020-10;-0,803552;-0,830337;-1,015291;-0,631959;-0,928403;-0,493856
2020-11;-1,301116;-1,251247;-1,337129;-1,345751;-0,522546;0,479976
2020-12;-1,162561;-1,084113;-1,186391;-0,477959;-0,256335;0,046783
2021-01;-1,332527;-1,218193;-1,417261;-0,533352;-1,063056;-0,682696
2021-02;-1,412027;-1,237051;-1,466162;0,233318;-0,977094;-0,997982
2021-03;-1,337316;-1,153631;-1,275162;0,517990;0,401188;-0,024500
2021-04;-1,381912;-1,133576;-1,369919;1,554981;-0,145876;-0,920752
2021-05;-1,026316;-0,755294;-0,990929;1,571493;0,193122;-0,695698
2021-06;-0,862736;-0,769571;-0,709848;0,157523;0,786367;0,524175
2021-07;-0,329312;-0,449463;-0,216910;-0,501242;0,476047;0,757354
2021-08;-0,032924;-0,149544;-0,043616;-0,209534;0,124107;0,207686
2021-09;-0,197318;-0,302233;0,164522;-0,298044;1,173792;1,229072
2021-10;-0,031775;-0,171985;0,495602;-0,302305;1,518978;1,548247
2021-11;-0,374449;-0,455814;0,142922;-0,362476;1,786065;1,853123
2021-12;-0,901380;-1,007373;-0,839482;-1,449695;0,341640;1,576111
2022-01;-0,095197;-0,436529;0,433741;-1,184807;1,569448;2,607533
2022-02;0,085003;-0,191076;0,489653;-0,717985;1,143656;1,607479
2022-03;0,365017;-0,017940;0,794034;-0,822117;1,083299;1,657799
2022-04;0,446475;0,199744;0,791839;-0,325288;0,883655;0,987504
