Date,Searches
2019-01-01,19551
2019-01-02,26339
2019-01-03,25761
2019-01-04,24064
2019-01-05,20475
2019-01-06,22891
2019-01-07,26796
2019-01-08,25364
2019-01-09,26507
2019-01-10,25078
2019-01-11,23164
2019-01-12,21147
2019-01-13,27646
2019-01-14,26845
2019-01-15,26799
2019-01-16,25360
2019-01-17,23025
2019-01-18,21289
2019-01-19,20156
2019-01-20,25009
2019-01-21,25436
2019-01-22,23277
2019-01-23,22532
2019-01-24,21180
2019-01-25,20060
2019-01-26,18550
2019-01-27,23973
2019-01-28,22804
2019-01-29,22167
2019-01-30,21510
2019-01-31,20276
2019-02-01,19869
2019-02-02,18645
2019-02-03,23467
2019-02-04,24287
2019-02-05,23513
2019-02-06,23031
2019-02-07,22219
2019-02-08,20607
2019-02-09,19700
2019-02-10,24823
2019-02-11,26350
2019-02-12,24848
2019-02-13,23990
2019-02-14,21430
2019-02-15,21251
2019-02-16,20327
2019-02-17,24844
2019-02-18,26454
2019-02-19,26413
2019-02-20,26043
2019-02-21,23644
2019-02-22,22127
2019-02-23,19407
2019-02-24,23474
2019-02-25,25137
2019-02-26,24657
2019-02-27,22964
2019-02-28,22722
2019-03-01,20916
2019-03-02,20104
2019-03-03,24926
2019-03-04,25920
2019-03-05,24877
2019-03-06,24906
2019-03-07,23285
2019-03-08,21510
2019-03-09,20313
2019-03-10,25255
2019-03-11,25249
2019-03-12,25593
2019-03-13,25860
2019-03-14,24922
2019-03-15,25281
2019-03-16,21683
2019-03-17,27251
2019-03-18,28557
2019-03-19,25921
2019-03-20,24788
2019-03-21,22959
2019-03-22,20801
2019-03-23,18051
2019-03-24,24259
2019-03-25,25241
2019-03-26,24280
2019-03-27,22610
2019-03-28,21130
2019-03-29,20416
2019-03-30,17694
2019-03-31,22036
2019-04-01,25133
2019-04-02,24886
2019-04-03,25139
2019-04-04,23346
2019-04-05,20554
2019-04-06,19095
2019-04-07,24719
2019-04-08,23860
2019-04-09,25124
2019-04-10,24748
2019-04-11,24228
2019-04-12,21179
2019-04-13,19456
2019-04-14,23337
2019-04-15,15114
2019-04-17,11657
2019-04-18,23790
2019-04-19,21108
2019-04-20,17043
2019-04-21,18567
2019-04-22,22769
2019-04-23,24672
2019-04-24,23047
2019-04-25,22136
2019-04-26,19531
2019-04-27,15701
2019-04-28,18655
2019-04-29,20822
2019-04-30,19797
2019-05-01,21249
2019-05-02,20858
2019-05-03,18016
2019-05-04,16001
2019-05-05,20137
2019-05-06,20503
2019-05-07,21826
2019-05-08,23321
2019-05-09,22963
2019-05-10,19978
2019-05-11,18300
2019-05-12,22247
2019-05-13,23906
2019-05-14,23600
2019-05-15,22412
2019-05-16,21281
2019-05-17,19714
2019-05-18,17639
2019-05-19,22212
2019-05-20,24139
2019-05-21,23203
2019-05-22,21371
2019-05-23,20069
2019-05-24,18274
2019-05-25,16108
2019-05-26,18695
2019-05-27,20194
2019-05-28,20774
2019-05-29,19867
2019-05-30,19437
2019-05-31,17478
2019-06-01,15162
2019-06-02,19069
2019-06-03,21134
2019-06-04,20914
2019-06-05,20570
2019-06-06,18931
2019-06-07,17393
2019-06-08,15759
2019-06-09,18755
2019-06-10,21821
2019-06-11,21631
2019-06-12,20545
2019-06-13,19443
2019-06-14,17247
2019-06-15,15751
2019-06-16,19582
2019-06-17,22167
2019-06-18,22519
2019-06-19,21485
2019-06-20,20796
2019-06-21,19266
2019-06-22,16880
2019-06-23,20197
2019-06-24,23383
2019-06-25,23305
2019-06-26,22851
2019-06-27,21949
2019-06-28,21745
2019-06-29,19644
2019-06-30,23787
2019-07-01,27879
2019-07-02,26640
2019-07-03,26537
2019-07-04,25212
2019-07-05,23529
2019-07-06,21741
2019-07-07,26029
2019-07-08,28942
2019-07-09,28602
2019-07-10,26609
2019-07-11,25006
2019-07-12,22556
2019-07-13,22211
2019-07-14,26162
2019-07-15,29317
2019-07-16,27571
2019-07-17,27115
2019-07-18,26077
2019-07-19,24850
2019-07-20,21939
2019-07-21,25980
2019-07-22,27708
2019-07-23,27495
2019-07-24,26287
2019-07-25,26219
2019-07-26,24514
2019-07-27,23512
2019-07-28,29309
2019-07-29,31506
2019-07-30,31233
2019-07-31,32182
2019-08-01,30732
2019-08-02,28311
2019-08-03,26278
2019-08-04,29335
2019-08-05,33834
2019-08-06,31098
2019-08-07,30265
2019-08-08,28382
2019-08-09,27221
2019-08-10,23732
2019-08-11,26840
2019-08-12,31086
2019-08-13,29893
2019-08-14,29740
2019-08-15,26190
2019-08-16,28504
2019-08-17,24738
2019-08-18,29809
2019-08-19,33071
2019-08-20,31388
2019-08-21,31133
